Name,Actions,Gene Name,General Function,Kind,Molecular Weight,Organism,Pharmacological action,Specific Function,Uniprot ID,Uniprot Name,Drug,drugbank_id,Curator comments
Cytochrome P450 3A4,Substrate,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,No,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Aripiprazole,DB01238,NA
Cytochrome P450 3A7,Substrate,CYP3A7,Oxygen binding,Protein,57525.03 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P24462,Cytochrome P450 3A7,Aripiprazole,DB01238,NA
Cytochrome P450 3A5,Substrate,CYP3A5,Oxygen binding,Protein,57108.065 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P20815,Cytochrome P450 3A5,Aripiprazole,DB01238,NA
Cytochrome P450 1A2,Substrate,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Asenapine,DB06216,NA
Cytochrome P450 2D6,Inhibitor,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Asenapine,DB06216,NA
UDP-glucuronosyltransferase 1-4,Substrate,UGT1A4,Protein homodimerization activity,Protein,60024.535 Da,Humans,Unknown,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This isoform glucuronidates bilirubin IX-alpha to form both the...,P22310,UDP-glucuronosyltransferase 1-4,Asenapine,DB06216,NA
Cytochrome P450 3A4,Substrate,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Asenapine,DB06216,NA
Cytochrome P450 2D6,Substrate,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Atomoxetine,DB00289,NA
Cytochrome P450 2C19,Substrate,CYP2C19,Steroid hydroxylase activity,Protein,55930.545 Da,Humans,Unknown,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and im...",P33261,Cytochrome P450 2C19,Atomoxetine,DB00289,NA
Cytochrome P450 1A2,Substrate,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Bromazepam,DB01558,NA
Cytochrome P450 2C19,Substrate,CYP2C19,Steroid hydroxylase activity,Protein,55930.545 Da,Humans,Unknown,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and im...",P33261,Cytochrome P450 2C19,Bromazepam,DB01558,NA
Cytochrome P450 2E1,Inhibitor,CYP2E1,Steroid hydroxylase activity,Protein,56848.42 Da,Humans,Unknown,"Metabolizes several precarcinogens, drugs, and solvents to reactive metabolites. Inactivates a number of drugs and xenobiotics and also bioactivates many xenobiotic substrates to their hepatotoxic ...",P05181,Cytochrome P450 2E1,Bromazepam,DB01558,Information regarding this enzyme action is limited in the literature at this time.
Cytochrome P450 3A4,SubstrateInhibitor,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Buprenorphine,DB00921,NA
Cytochrome P450 3A5,Substrate,CYP3A5,Oxygen binding,Protein,57108.065 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P20815,Cytochrome P450 3A5,Buprenorphine,DB00921,NA
Cytochrome P450 2C9,Substrate,CYP2C9,Steroid hydroxylase activity,Protein,55627.365 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P11712,Cytochrome P450 2C9,Buprenorphine,DB00921,NA
Cytochrome P450 2C8,Substrate,CYP2C8,Steroid hydroxylase activity,Protein,55824.275 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P10632,Cytochrome P450 2C8,Buprenorphine,DB00921,NA
Cytochrome P450 3A7,Substrate,CYP3A7,Oxygen binding,Protein,57525.03 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P24462,Cytochrome P450 3A7,Buprenorphine,DB00921,NA
UDP-glucuronosyltransferase 1-9,Substrate,UGT1A9,Retinoic acid binding,Protein,59940.495 Da,Humans,Unknown,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This isoform has specificity for phenols. Isoform 2 lacks trans...,O60656,UDP-glucuronosyltransferase 1-9,Buprenorphine,DB00921,NA
Cytochrome P450 2D6,SubstrateInhibitor,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Buprenorphine,DB00921,NA
Cytochrome P450 2C18,Substrate,CYP2C18,Steroid hydroxylase activity,Protein,55710.075 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P33260,Cytochrome P450 2C18,Buprenorphine,DB00921,NA
Cytochrome P450 2C19,Inhibitor,CYP2C19,Steroid hydroxylase activity,Protein,55930.545 Da,Humans,Unknown,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and im...",P33261,Cytochrome P450 2C19,Buprenorphine,DB00921,NA
UDP-glucuronosyltransferase 1-1,Substrate,UGT1A1,Steroid binding,Protein,59590.91 Da,Humans,No,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This isoform glucuronidates bilirubin IX-alpha to form both the...,P22309,UDP-glucuronosyltransferase 1-1,Buprenorphine,DB00921,NA
Cytochrome P450 2B6,Substrate,CYP2B6,Steroid hydroxylase activity,Protein,56277.81 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P20813,Cytochrome P450 2B6,Bupropion,DB01156,NA
Cytochrome P450 2D6,Inhibitor,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Bupropion,DB01156,NA
Cytochrome P450 2C9,Substrate,CYP2C9,Steroid hydroxylase activity,Protein,55627.365 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P11712,Cytochrome P450 2C9,Bupropion,DB01156,"Information in the literature is limited regarding this enzyme action, however the product monograph suggests it is a minor substrate of CYP2C9."
Cytochrome P450 2E1,Substrate,CYP2E1,Steroid hydroxylase activity,Protein,56848.42 Da,Humans,Unknown,"Metabolizes several precarcinogens, drugs, and solvents to reactive metabolites. Inactivates a number of drugs and xenobiotics and also bioactivates many xenobiotic substrates to their hepatotoxic ...",P05181,Cytochrome P450 2E1,Bupropion,DB01156,NA
Cytochrome P450 3A4,Substrate,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Buspirone,DB00490,NA
Cytochrome P450 3A5,Substrate,CYP3A5,Oxygen binding,Protein,57108.065 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P20815,Cytochrome P450 3A5,Buspirone,DB00490,NA
Cytochrome P450 3A7,Substrate,CYP3A7,Oxygen binding,Protein,57525.03 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P24462,Cytochrome P450 3A7,Buspirone,DB00490,NA
Cytochrome P450 2D6,Substrate,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Buspirone,DB00490,NA
Cytochrome P450 3A4,SubstrateInhibitor,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Cabergoline,DB00248,NA
Cytochrome P450 3A4,SubstrateInducer,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Carbamazepine,DB00564,NA
Cytochrome P450 2C8,SubstrateInducer,CYP2C8,Steroid hydroxylase activity,Protein,55824.275 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P10632,Cytochrome P450 2C8,Carbamazepine,DB00564,NA
Cytochrome P450 1A2,InhibitorInducer,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Carbamazepine,DB00564,NA
Cytochrome P450 2C9,Inducer,CYP2C9,Steroid hydroxylase activity,Protein,55627.365 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P11712,Cytochrome P450 2C9,Carbamazepine,DB00564,NA
Cytochrome P450 2C19,InhibitorInducer,CYP2C19,Steroid hydroxylase activity,Protein,55930.545 Da,Humans,Unknown,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and im...",P33261,Cytochrome P450 2C19,Carbamazepine,DB00564,NA
Cytochrome P450 2B6,SubstrateInducer,CYP2B6,Steroid hydroxylase activity,Protein,56277.81 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P20813,Cytochrome P450 2B6,Carbamazepine,DB00564,NA
Cytochrome P450 3A5,SubstrateInducer,CYP3A5,Oxygen binding,Protein,57108.065 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P20815,Cytochrome P450 3A5,Carbamazepine,DB00564,NA
UDP-glucuronosyltransferase 2B7,Substrate,UGT2B7,Glucuronosyltransferase activity,Protein,60694.12 Da,Humans,Unknown,"UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds.Its unique specificity for 3,4-catechol estrogens and estriol su...",P16662,UDP-glucuronosyltransferase 2B7,Carbamazepine,DB00564,NA
UDP-glucuronosyltransferase 1-1,Inducer,UGT1A1,Steroid binding,Protein,59590.91 Da,Humans,No,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This isoform glucuronidates bilirubin IX-alpha to form both the...,P22309,UDP-glucuronosyltransferase 1-1,Carbamazepine,DB00564,NA
UDP-glucuronosyltransferase 1-6,Inducer,UGT1A6,Protein homodimerization activity,Protein,60750.215 Da,Humans,Unknown,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This isoform has specificity for phenols. Isoform 3 lacks trans...,P19224,UDP-glucuronosyltransferase 1-6,Carbamazepine,DB00564,NA
UDP-glucuronosyltransferase 1-7,Inducer,UGT1A7,Retinoic acid binding,Protein,59818.315 Da,Humans,Unknown,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. Isoform 2 lacks transferase activity but acts as a negative reg...,Q9HAW7,UDP-glucuronosyltransferase 1-7,Carbamazepine,DB00564,NA
Cytochrome P450 2D6,SubstrateInhibitor,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Chlorpromazine,DB00477,NA
Cytochrome P450 1A2,Substrate,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Chlorpromazine,DB00477,NA
Cytochrome P450 2E1,Inhibitor,CYP2E1,Steroid hydroxylase activity,Protein,56848.42 Da,Humans,Unknown,"Metabolizes several precarcinogens, drugs, and solvents to reactive metabolites. Inactivates a number of drugs and xenobiotics and also bioactivates many xenobiotic substrates to their hepatotoxic ...",P05181,Cytochrome P450 2E1,Chlorpromazine,DB00477,NA
Cytochrome P450 3A4,Inducer,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Chlorpromazine,DB00477,NA
Cholinesterase,Inhibitor,BCHE,Identical protein binding,Protein,68417.575 Da,Humans,Unknown,Esterase with broad substrate specificity. Contributes to the inactivation of the neurotransmitter acetylcholine. Can degrade neurotoxic organophosphate esters.,P06276,Cholinesterase,Chlorpromazine,DB00477,NA
Cytochrome P450 3A4,SubstrateInhibitor,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Citalopram,DB00215,NA
Cytochrome P450 2C19,SubstrateInhibitor,CYP2C19,Steroid hydroxylase activity,Protein,55930.545 Da,Humans,Unknown,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and im...",P33261,Cytochrome P450 2C19,Citalopram,DB00215,NA
Cytochrome P450 2D6,SubstrateInhibitor,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Citalopram,DB00215,NA
Cytochrome P450 1A2,Inhibitor,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Citalopram,DB00215,NA
Cytochrome P450 2D6,SubstrateInhibitor,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Clomipramine,DB01242,NA
Cytochrome P450 2C19,Substrate,CYP2C19,Steroid hydroxylase activity,Protein,55930.545 Da,Humans,Unknown,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and im...",P33261,Cytochrome P450 2C19,Clomipramine,DB01242,NA
Cytochrome P450 1A2,Substrate,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,No,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Clomipramine,DB01242,NA
Cytochrome P450 3A4,Substrate,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Clomipramine,DB01242,NA
Cytochrome P450 3A4,Substrate,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Clonazepam,DB01068,NA
Cytochrome P450 2E1,Inhibitor,CYP2E1,Steroid hydroxylase activity,Protein,56848.42 Da,Humans,Unknown,"Metabolizes several precarcinogens, drugs, and solvents to reactive metabolites. Inactivates a number of drugs and xenobiotics and also bioactivates many xenobiotic substrates to their hepatotoxic ...",P05181,Cytochrome P450 2E1,Clonazepam,DB01068,NA
Arylamine N-acetyltransferase 2,Substrate,NAT2,Arylamine n-acetyltransferase activity,Protein,33542.235 Da,Humans,Unknown,Participates in the detoxification of a plethora of hydrazine and arylamine drugs. Catalyzes the N- or O-acetylation of various arylamine and heterocyclic amine substrates and is able to bioactivat...,P11245,Arylamine N-acetyltransferase 2,Clonazepam,DB01068,NA
Cytochrome P450 2D6,Substrate,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Clonidine,DB00575,NA
Cytochrome P450 1A2,Substrate,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Clonidine,DB00575,Data is limited to an in vitro study.
Cytochrome P450 3A4,Substrate,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Clonidine,DB00575,NA
Cytochrome P450 1A1,Substrate,CYP1A1,Vitamin d 24-hydroxylase activity,Protein,58164.815 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P04798,Cytochrome P450 1A1,Clonidine,DB00575,NA
Cytochrome P450 3A5,Substrate,CYP3A5,Oxygen binding,Protein,57108.065 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P20815,Cytochrome P450 3A5,Clonidine,DB00575,NA
